id,user_id,auto_id,rental_date,status
1,78,38,2026-06-25 02:25:52,cancelled
2,46,35,2026-09-18 05:49:11,completed
3,120,34,2026-06-24 09:45:14,active
4,140,68,2025-12-03 12:31:11,cancelled
5,73,30,2026-04-24 09:40:33,active
6,5,5,2026-01-22 11:26:01,cancelled
7,145,50,2025-11-13 22:57:47,active
8,122,41,2026-06-28 03:05:36,completed
9,196,23,2025-10-17 16:40:04,completed
10,51,45,2026-09-23 14:18:02,active
11,184,72,2026-07-02 11:28:37,active
12,165,89,2026-01-02 10:08:32,cancelled
13,115,62,2026-09-06 07:57:52,cancelled
14,151,18,2026-05-12 02:12:41,cancelled
15,147,47,2026-08-26 00:48:27,cancelled
16,185,70,2025-11-18 19:39:40,completed
17,166,74,2026-02-18 04:45:16,active
18,181,2,2026-04-06 14:37:58,active
19,11,4,2026-09-15 04:49:17,active
20,45,19,2026-08-04 20:46:10,active
21,174,71,2026-02-23 10:31:30,active
22,9,18,2026-09-10 13:32:03,active
23,176,9,2026-07-18 03:39:24,active
24,51,64,2026-08-14 03:49:15,cancelled
25,44,99,2026-01-22 04:45:08,cancelled
26,184,2,2026-01-25 02:30:37,active
27,80,99,2026-05-24 09:38:32,active
28,72,87,2026-06-22 07:32:54,completed
29,188,60,2026-09-17 22:51:01,completed
30,48,72,2026-01-18 21:48:55,cancelled
31,11,96,2026-05-08 09:09:26,completed
32,136,36,2026-09-10 15:16:25,cancelled
33,120,85,2026-01-29 17:22:20,completed
34,43,47,2026-03-31 18:18:20,cancelled
35,200,62,2026-09-16 07:19:18,cancelled
36,174,68,2025-10-24 19:30:43,active
37,182,81,2026-01-09 17:34:59,completed
38,197,95,2025-11-28 20:43:21,completed
39,85,3,2026-01-28 22:26:09,cancelled
40,128,87,2026-03-27 18:10:12,active
41,57,62,2025-10-01 19:49:55,active
42,194,34,2026-02-16 08:05:57,cancelled
43,150,70,2026-06-19 13:58:17,active
44,123,35,2025-11-22 00:24:16,completed
45,126,15,2025-12-26 08:50:57,active
46,35,88,2026-07-31 19:35:17,cancelled
47,57,92,2026-01-14 10:08:54,active
48,48,27,2025-11-25 09:43:57,completed
49,121,8,2026-08-07 00:16:16,cancelled
50,22,34,2026-07-24 13:16:58,cancelled
51,162,67,2026-06-08 23:03:09,completed
52,29,36,2026-08-16 08:03:53,cancelled
53,89,77,2026-03-24 11:28:54,completed
54,158,100,2026-03-24 20:39:26,active
55,159,37,2026-03-23 19:02:53,cancelled
56,79,36,2026-03-17 21:10:24,completed
57,58,8,2026-01-31 18:26:16,active
58,167,30,2026-08-30 20:03:33,active
59,35,41,2026-03-22 15:17:19,cancelled
60,50,50,2026-05-23 17:24:08,completed
61,31,69,2026-07-16 02:04:38,completed
62,115,19,2026-05-10 06:13:59,completed
63,81,21,2026-05-04 12:09:51,completed
64,156,30,2025-12-05 16:48:32,cancelled
65,48,30,2026-08-27 22:26:57,completed
66,49,36,2026-08-17 10:08:33,completed
67,126,35,2026-06-29 09:30:13,active
68,131,57,2026-07-28 18:42:23,active
69,161,83,2026-09-21 19:29:27,cancelled
70,31,69,2026-01-27 03:48:00,cancelled
71,144,45,2026-03-21 21:18:28,completed
72,166,43,2025-11-15 15:46:45,active
73,28,65,2026-02-05 17:39:24,cancelled
74,153,37,2026-09-02 23:20:45,active
75,50,42,2026-08-20 03:56:34,cancelled
76,172,99,2025-12-26 04:41:17,cancelled
77,93,59,2026-02-25 09:38:12,cancelled
78,39,49,2026-01-03 23:12:47,completed
79,126,23,2026-04-02 21:55:24,completed
80,95,50,2026-02-22 03:40:50,active
81,20,30,2026-02-12 06:28:11,completed
82,143,60,2026-04-03 04:18:49,cancelled
83,173,60,2026-06-25 16:51:25,completed
84,140,52,2026-09-01 23:56:29,completed
85,184,90,2026-01-06 01:00:27,cancelled
86,135,30,2025-10-08 03:35:17,completed
87,17,82,2025-11-04 10:48:06,cancelled
88,65,57,2026-09-07 09:23:57,active
89,128,41,2026-01-11 12:51:00,cancelled
90,73,76,2026-06-03 15:33:48,completed
91,158,85,2026-06-21 13:47:59,active
92,96,31,2026-02-07 06:04:20,active
93,39,72,2026-03-10 07:01:18,cancelled
94,47,87,2026-01-10 23:45:51,cancelled
95,16,26,2025-11-10 17:09:08,completed
96,156,38,2025-11-22 03:53:45,completed
97,45,32,2026-09-04 03:28:05,cancelled
98,139,10,2026-03-24 02:05:14,completed
99,200,71,2026-08-05 23:08:35,active
100,39,71,2026-09-12 21:57:07,cancelled
101,83,11,2026-08-16 00:31:55,completed
102,2,81,2025-09-28 05:29:27,cancelled
103,89,6,2026-06-05 07:47:39,completed
104,153,1,2025-10-27 20:41:45,completed
105,167,57,2025-12-06 17:43:50,completed
106,119,29,2026-02-27 12:00:58,active
107,14,68,2026-04-12 17:06:10,completed
108,60,32,2025-12-09 04:46:31,cancelled
109,63,96,2026-06-19 23:40:02,completed
110,15,62,2026-07-01 06:59:09,active
111,78,64,2025-12-09 04:47:04,completed
112,30,90,2025-11-03 02:58:44,active
113,103,15,2026-02-12 23:42:20,active
114,91,56,2025-10-06 22:06:31,cancelled
115,13,2,2025-11-07 08:32:04,completed
116,46,27,2026-05-08 08:29:52,cancelled
